"fit_time","score_time","test_accuracy","test_f1_macro","test_balanced_accuracy"
"446.7468047142029","0.656296968460083","0.9893617021276596","0.9889673433362753","0.9961538461538462"
"449.44637727737427","0.6433310508728027","1","1","1"
"447.3054699897766","0.5944023132324219","1","1","1"
"448.52101135253906","0.6337337493896484","1","1","1"
"452.40323853492737","0.6221365928649902","0.45108695652173914","0.6679525419235103","0.8057692307692308"
