fold,fit_time,score_time,test_accuracy,test_f1_macro,test_balanced_accuracy
0,1435.389405488968,1.657991886138916,0.776595744680851,0.8493975903614459,0.9192307692307692
1,1459.1372425556183,1.6481249332427979,1.0,1.0,1.0
2,1440.6841924190521,1.6661958694458008,1.0,1.0,1.0
3,1452.1265261173248,1.6520817279815674,1.0,1.0,1.0
4,1450.1606738567352,1.6256277561187744,0.44021739130434784,0.6597535797535798,0.801923076923077
